season,rank,team,rating,wins,losses,best_win_name,best_win_elo
2020,1,Kansas,2646.8130135251013,28,3,Baylor,2591.6861444716474
2020,2,Baylor,2591.6861444716474,26,4,Kansas,2646.8130135251013
2020,3,San Diego St,2590.675645419379,30,2,Creighton,2320.384988936528
2020,4,Dayton,2542.1005822925376,29,2,Saint Mary's,2269.814381723881
2020,5,Gonzaga,2451.2024916586724,31,2,Oregon,2325.0226439539892
2020,6,Duke,2407.7599144778565,25,6,Kansas,2646.8130135251013
2020,7,Maryland,2399.629539461703,24,7,Ohio State,2321.22553753542
2020,8,West Virginia,2370.766269681941,21,10,Baylor,2591.6861444716474
2020,9,Florida St,2370.0334862496125,26,5,Louisville,2337.3802380375832
2020,10,Louisville,2337.3802380375832,24,7,Duke,2407.7599144778565
2020,11,Butler,2330.2530252100273,22,9,Creighton,2320.384988936528
2020,12,Oregon,2325.0226439539892,24,7,Michigan,2315.4410483621386
2020,13,Ohio State,2321.22553753542,21,10,Maryland,2399.629539461703
2020,14,Creighton,2320.384988936528,24,7,Butler,2330.2530252100273
2020,15,Michigan,2315.4410483621386,19,12,Gonzaga,2451.2024916586724
2020,16,Auburn,2312.821326756917,25,6,Kentucky,2302.7268757625566
2020,17,Arizona,2304.826898231273,21,11,Colorado,2281.6043396031555
2020,18,Kentucky,2302.7268757625566,25,6,Louisville,2337.3802380375832
2020,19,Villanova,2292.2488752377667,24,7,Kansas,2646.8130135251013
2020,20,Michigan St,2283.887041830952,22,9,Maryland,2399.629539461703
2020,21,Colorado,2281.6043396031555,21,11,Dayton,2542.1005822925376
2020,22,Seton Hall,2279.467683162006,21,9,Maryland,2399.629539461703
2020,23,Saint Mary's,2269.814381723881,26,8,BYU,2262.106234661416
2020,24,BYU,2262.106234661416,24,8,Gonzaga,2451.2024916586724
2020,25,Stanford,2259.139334765138,20,12,Oregon,2325.0226439539892
2020,26,Houston,2255.3770431229455,23,8,Wichita St,2240.2832377133022
2020,27,Penn State,2253.1584110669173,21,10,Maryland,2399.629539461703
2020,28,Wichita St,2240.2832377133022,23,8,Oklahoma,2197.7941992527763
2020,29,Marquette,2236.3063789466323,18,12,Butler,2330.2530252100273
2020,30,Iowa,2226.804096185434,20,11,Maryland,2399.629539461703
2020,31,Rutgers,2220.1432430338086,20,11,Maryland,2399.629539461703
2020,32,Indiana,2217.2869387434016,20,12,Florida St,2370.0334862496125
2020,33,Florida,2199.0852079801703,19,12,Auburn,2312.821326756917
2020,34,Oklahoma,2197.7941992527763,19,12,West Virginia,2370.766269681941
2020,35,LSU,2196.4881861705517,21,10,Florida,2199.0852079801703
2020,36,Xavier,2188.4245507632895,19,13,Seton Hall,2279.467683162006
2020,37,Arkansas,2185.0733504678537,20,12,Indiana,2217.2869387434016
2020,38,Texas Tech,2182.4185276235444,18,13,West Virginia,2370.766269681941
2020,39,Northern Iowa,2178.1083666294626,25,6,Colorado,2281.6043396031555
2020,40,Virginia,2163.383090868942,23,7,Duke,2407.7599144778565
2020,41,Illinois,2162.010364938325,21,10,Michigan,2315.4410483621386
2020,42,USC,2154.861883115694,22,9,Arizona,2304.826898231273
2020,43,Rhode Island,2154.4396788522436,21,9,Alabama,2066.01892697375
2020,44,Wisconsin,2154.3958303397985,21,10,Maryland,2399.629539461703
2020,45,Texas,2148.3990975936845,19,12,West Virginia,2370.766269681941
2020,46,ETSU,2147.9475482812245,30,4,LSU,2196.4881861705517
2020,47,Arizona St,2139.3199056860635,20,11,Oregon,2325.0226439539892
2020,48,Utah State,2135.4460706895366,26,8,San Diego St,2590.675645419379
2020,49,Memphis,2132.614898685897,21,10,Houston,2255.3770431229455
2020,50,NC State,2129.7608624486556,20,12,Duke,2407.7599144778565
2020,51,Oklahoma St,2127.938979356066,18,14,Houston,2255.3770431229455
2020,52,Georgetown,2121.2224620671673,15,17,Butler,2330.2530252100273
2020,53,DePaul,2118.0376450379317,16,16,Butler,2330.2530252100273
2020,54,Saint Louis,2114.2916889283756,23,8,Rhode Island,2154.4396788522436
2020,55,Richmond,2113.8052287152923,24,7,Rhode Island,2154.4396788522436
2020,56,SF Austin,2112.617899147925,28,3,Duke,2407.7599144778565
2020,57,Cincinnati,2106.9758833452624,20,10,Houston,2255.3770431229455
2020,58,Washington,2103.330969503308,15,17,Baylor,2591.6861444716474
2020,59,Purdue,2097.0970502793853,16,15,Michigan St,2283.887041830952
2020,60,Liberty,2096.4793199664,30,4,Akron,2044.6771758715238
2020,61,Tennessee,2094.6108314452517,17,14,Kentucky,2302.7268757625566
2020,62,Mississippi St,2089.733213814349,20,11,Florida,2199.0852079801703
2020,63,Iowa State,2073.0420348233993,12,20,Seton Hall,2279.467683162006
2020,64,Minnesota,2068.1781429804855,15,16,Ohio State,2321.22553753542
2020,65,Alabama,2066.01892697375,16,15,Auburn,2312.821326756917
2020,66,VCU,2060.7094879366646,18,13,LSU,2196.4881861705517
2020,67,TCU,2057.661856764616,16,16,Baylor,2591.6861444716474
2020,68,Oregon St,2055.4537435438524,18,13,Oregon,2325.0226439539892
2020,69,Duquesne,2051.283684452822,21,9,Saint Louis,2114.2916889283756
2020,70,Utah,2051.2723634441622,16,15,Kentucky,2302.7268757625566
2020,71,Virginia Tech,2050.3237121164407,16,16,Michigan St,2283.887041830952
2020,72,UNC Greensboro,2050.280504522483,23,9,Georgetown,2121.2224620671673
2020,73,Georgia,2049.7048749141113,16,16,Auburn,2312.821326756917
2020,74,Notre Dame,2047.2434106741389,20,12,Virginia Tech,2050.3237121164407
2020,75,SMU,2047.1377296523972,19,11,Houston,2255.3770431229455
2020,76,Akron,2044.6771758715238,24,7,Kent State,1923.5451359738945
2020,77,North Carolina,2044.6200032802421,14,19,Oregon,2325.0226439539892
2020,78,St John's,2029.619281539467,17,15,West Virginia,2370.766269681941
2020,79,Furman,2023.2083384027244,25,7,ETSU,2147.9475482812245
2020,80,Temple,2022.0853158191592,14,17,Wichita St,2240.2832377133022
2020,81,Pitt,2018.6750572425276,16,17,Florida St,2370.0334862496125
2020,82,Syracuse,2016.1228959968182,18,14,Virginia,2163.383090868942
2020,83,Yale,2014.2780407584467,23,7,Clemson,1963.6702269111424
2020,84,South Carolina,2009.8146930186401,18,13,Kentucky,2302.7268757625566
2020,85,UConn,2007.9092316469244,19,12,Houston,2255.3770431229455
2020,86,San Francisco,2006.7227252060763,22,12,BYU,2262.106234661416
2020,87,UCLA,1994.9888793727919,19,12,Arizona,2304.826898231273
2020,88,Miami,1992.9959293371137,15,16,Illinois,2162.010364938325
2020,89,Nevada,1992.2621375064068,19,12,Colorado St,1991.7066677209461
2020,90,Colorado St,1991.7066677209461,20,12,Nevada,1992.2621375064068
2020,91,Missouri,1987.597113104996,15,16,Auburn,2312.821326756917
2020,92,Providence,1980.3064525777058,19,12,Butler,2330.2530252100273
2020,93,Tulsa,1977.3111405312857,21,10,Houston,2255.3770431229455
2020,94,New Mexico,1974.06335911777,19,14,Wisconsin,2154.3958303397985
2020,95,Boise St,1972.7155555110596,20,12,BYU,2262.106234661416
2020,96,Georgia Tech,1972.3609856972898,17,14,Louisville,2337.3802380375832
2020,97,Clemson,1963.6702269111424,16,15,Duke,2407.7599144778565
2020,98,Vermont,1957.628547204036,26,7,St John's,2029.619281539467
2020,99,Ole Miss,1956.246402429983,15,17,Penn State,2253.1584110669173
2020,100,Western KY,1947.8168546566226,20,10,Arkansas,2185.0733504678537
2020,101,Louisiana Tech,1944.8372349466372,22,8,Mississippi St,2089.733213814349
2020,102,Kansas St,1941.4334212942663,11,21,West Virginia,2370.766269681941
2020,103,California,1933.8484020907867,14,18,Colorado,2281.6043396031555
2020,104,Wright St,1933.104851010129,25,7,Western KY,1947.8168546566226
2020,105,New Mexico St,1929.3289829857547,25,6,Mississippi St,2089.733213814349
2020,106,Harvard,1925.0308037008322,21,8,Yale,2014.2780407584467
2020,107,Kent State,1923.5451359738945,20,12,Akron,2044.6771758715238
2020,108,Santa Clara,1920.4277628403108,20,13,Saint Mary's,2269.814381723881
2020,109,George Mason,1919.2737103541087,17,15,VCU,2060.7094879366646
2020,110,Wake Forest,1915.0146672469527,13,18,Duke,2407.7599144778565
2020,111,Bowling Green,1908.2342574955128,21,10,Cincinnati,2106.9758833452624
2020,112,UCF,1906.2225117811233,16,14,Cincinnati,2106.9758833452624
2020,113,Indiana St,1903.4289928925211,18,12,Northern Iowa,2178.1083666294626
2020,114,Pacific,1902.2802220215922,23,10,Saint Mary's,2269.814381723881
2020,115,Georgia St,1899.8988933104038,19,13,Texas St,1853.3042250076278
2020,116,North Texas,1893.0336323812064,20,11,Western KY,1947.8168546566226
2020,117,Loyola Chicago,1888.3183642193853,21,11,Northern Iowa,2178.1083666294626
2020,118,Texas A&M,1885.4115149970846,16,14,Auburn,2312.821326756917
2020,119,Davidson,1878.032954008828,16,14,Rhode Island,2154.4396788522436
2020,120,Bradley,1877.956903213128,23,11,Kansas St,1941.4334212942663
2020,121,Boston College,1875.3329758715595,13,19,Virginia,2163.383090868942
2020,122,Washington St,1875.0541083078779,16,16,Oregon,2325.0226439539892
2020,123,E Washington,1873.6106296577782,23,8,N Colorado,1862.720965798644
2020,124,Ball State,1872.360841169744,18,13,Georgia Tech,1972.3609856972898
2020,125,Buffalo,1869.6481284140318,20,12,DePaul,2118.0376450379317
2020,126,N Colorado,1862.720965798644,22,9,South Dakota,1818.3890082816745
2020,127,Belmont,1859.5289578154059,26,7,Western KY,1947.8168546566226
2020,128,Charleston,1858.8561836371812,17,14,Providence,1980.3064525777058
2020,129,St Bonaventure,1857.96793314098,19,12,Rutgers,2220.1432430338086
2020,130,W Carolina,1857.1486676719865,19,12,Wofford,1782.3525655298736
2020,131,Texas St,1853.3042250076278,21,11,Georgia St,1899.8988933104038
2020,132,Vanderbilt,1852.788376922455,11,21,LSU,2196.4881861705517
2020,133,UNLV,1842.5958009651772,17,15,San Diego St,2590.675645419379
2020,134,UC Irvine,1839.7288382660988,21,11,Boise St,1972.7155555110596
2020,135,Drake,1837.9730216252897,20,14,Northern Iowa,2178.1083666294626
2020,136,Colgate,1836.7867758621821,25,9,Cincinnati,2106.9758833452624
2020,137,Delaware,1834.6753376950016,22,11,Charleston,1858.8561836371812
2020,138,N Dakota St,1826.9978824873497,25,8,ETSU,2147.9475482812245
2020,139,Little Rock,1825.9708812491892,21,10,Texas St,1853.3042250076278
2020,140,UTEP,1824.384080584577,17,15,New Mexico,1974.06335911777
2020,141,Hawai'i,1821.4178752481835,17,13,San Francisco,2006.7227252060763
2020,142,South Dakota,1818.3890082816745,20,12,Pacific,1902.2802220215922
2020,143,Murray St,1815.0810487092365,23,9,Belmont,1859.5289578154059
2020,144,N Kentucky,1814.1461592334426,23,9,Ball State,1872.360841169744
2020,145,South Florida,1812.0240439953388,14,17,Memphis,2132.614898685897
2020,146,Toledo,1811.7405207382194,17,15,Akron,2044.6771758715238
2020,147,S Dakota St,1803.718491437042,22,10,N Dakota St,1826.9978824873497
2020,148,E Michigan,1802.4115441342556,16,16,Kent State,1923.5451359738945
2020,149,Stony Brook,1802.2630745202991,20,13,Vermont,1957.628547204036
2020,150,UMass,1801.4128890536547,14,17,Saint Louis,2114.2916889283756
2020,151,Pepperdine,1800.4646148152788,16,16,Santa Clara,1920.4277628403108
2020,152,Northwestern,1798.262057640324,8,23,Penn State,2253.1584110669173
2020,153,Montana,1794.0941479539288,18,13,E Washington,1873.6106296577782
2020,154,Valparaiso,1793.0472580117312,19,16,Indiana St,1903.4289928925211
2020,155,UT Arlington,1792.8199235695463,14,18,Tulsa,1977.3111405312857
2020,156,Hofstra,1792.5041085180314,26,8,UCLA,1994.9888793727919
2020,157,FIU,1790.4278928556278,19,13,Western KY,1947.8168546566226
2020,158,Coast Car,1790.3288373294827,16,17,Utah,2051.2723634441622
2020,159,La Salle,1790.2824585117703,15,15,Wright St,1933.104851010129
2020,160,Ohio,1790.214529186525,17,15,Kent State,1923.5451359738945
2020,161,Missouri St,1789.981903560397,16,17,Indiana St,1903.4289928925211
2020,162,N Illinois,1785.45428532792,18,13,Kent State,1923.5451359738945
2020,163,William & Mary,1785.3185018847391,21,11,Charleston,1858.8561836371812
2020,164,Nebraska,1783.4780112223807,7,25,Iowa,2226.804096185434
2020,165,UCSB,1783.321599491202,21,10,UC Irvine,1839.7288382660988
2020,166,Wofford,1782.3525655298736,19,16,UNC Greensboro,2050.280504522483
2020,167,Tulane,1781.6724331246528,12,18,Cincinnati,2106.9758833452624
2020,168,Winthrop,1776.0993698154466,24,10,Saint Mary's,2269.814381723881
2020,169,Chattanooga,1773.4737146689804,20,13,UNC Greensboro,2050.280504522483
2020,170,Oral Roberts,1772.178121815865,17,14,N Dakota St,1826.9978824873497
2020,171,Towson,1768.799270665115,19,13,Delaware,1834.6753376950016
2020,172,Charlotte,1767.4293244895723,16,13,Western KY,1947.8168546566226
2020,173,Georgia So,1756.3497271185586,20,13,Georgia St,1899.8988933104038
2020,174,Arkansas St,1753.3244812413436,16,16,Colorado St,1991.7066677209461
2020,175,C Michigan,1751.5538164602408,14,18,Bowling Green,1908.2342574955128
2020,176,CA Baptist,1750.6775245982528,21,10,UC Irvine,1839.7288382660988
2020,177,South Alabama,1744.310189596173,20,11,Texas St,1853.3042250076278
2020,178,FAU,1743.7018486697582,17,15,Western KY,1947.8168546566226
2020,179,Omaha,1743.6000584872772,16,16,Washington St,1875.0541083078779
2020,180,Appalachian St,1742.7160706197842,18,15,Texas St,1853.3042250076278
