season,rank,team,rating,wins,losses,best_win_name,best_win_elo
2010,1,Kansas,2608.3590184238597,33,3,Kansas St,2403.503228147029
2010,2,Kentucky,2531.7185178659506,35,3,Tennessee,2262.49948188075
2010,3,Syracuse,2520.579839629161,30,5,West Virginia,2442.900621108238
2010,4,Duke,2487.5197539258124,35,5,West Virginia,2442.900621108238
2010,5,West Virginia,2442.900621108238,31,7,Kentucky,2531.7185178659506
2010,6,Villanova,2418.593400341869,25,8,West Virginia,2442.900621108238
2010,7,Purdue,2409.962781091211,29,6,West Virginia,2442.900621108238
2010,8,Kansas St,2403.503228147029,29,8,Texas,2385.5991343694
2010,9,Texas,2385.5991343694,24,10,Pitt,2278.3125954695242
2010,10,Baylor,2360.9092813104326,28,8,Texas,2385.5991343694
2010,11,Georgetown,2356.6915593725994,23,11,Syracuse,2520.579839629161
2010,12,Temple,2323.3401588573547,29,6,Villanova,2418.593400341869
2010,13,Butler,2322.3767123801176,33,5,Syracuse,2520.579839629161
2010,14,Wisconsin,2318.2073754474072,24,9,Duke,2487.5197539258124
2010,15,BYU,2301.894053309559,30,6,Florida,2226.088126008752
2010,16,Gonzaga,2294.090473009694,27,7,Wisconsin,2318.2073754474072
2010,17,New Mexico,2293.8215640329713,30,5,BYU,2301.894053309559
2010,18,Pitt,2278.3125954695242,25,9,Syracuse,2520.579839629161
2010,19,Saint Mary's,2267.7860260354496,28,6,Villanova,2418.593400341869
2010,20,Tennessee,2262.49948188075,28,9,Kansas,2608.3590184238597
2010,21,Northern Iowa,2261.242671592505,30,5,Kansas,2608.3590184238597
2010,22,Ohio State,2253.845786706282,29,8,Purdue,2409.962781091211
2010,23,Michigan St,2253.0959264121575,28,9,Purdue,2409.962781091211
2010,24,Texas A&M,2249.3267505752046,24,10,Texas,2385.5991343694
2010,25,Marquette,2243.471676740491,22,12,Villanova,2418.593400341869
2010,26,Missouri,2241.2700501501713,23,11,Kansas St,2403.503228147029
2010,27,Dayton,2233.4463202891875,25,12,Ole Miss,2227.488568624594
2010,28,Ole Miss,2227.488568624594,24,11,Kansas St,2403.503228147029
2010,29,Florida,2226.088126008752,21,13,Tennessee,2262.49948188075
2010,30,Vanderbilt,2222.795201657307,24,9,Saint Mary's,2267.7860260354496
2010,31,Xavier,2220.7857255609392,26,9,Pitt,2278.3125954695242
2010,32,UNLV,2218.052841569766,25,9,BYU,2301.894053309559
2010,33,California,2210.1471857993233,24,11,Washington,2139.15325819222
2010,34,Georgia Tech,2208.9201516858107,23,13,Duke,2487.5197539258124
2010,35,Clemson,2200.2250468347597,21,11,Butler,2322.3767123801176
2010,36,UConn,2188.0288556962228,18,16,West Virginia,2442.900621108238
2010,37,Cornell,2187.359246708792,29,5,Temple,2323.3401588573547
2010,38,Maryland,2183.9904427562187,24,9,Duke,2487.5197539258124
2010,39,Rhode Island,2181.921255475798,26,10,Dayton,2233.4463202891875
2010,40,Wake Forest,2178.787398020477,20,11,Texas,2385.5991343694
2010,41,Notre Dame,2176.9900392097843,23,12,West Virginia,2442.900621108238
2010,42,North Carolina,2170.8072404310906,20,17,Ohio State,2253.845786706282
2010,43,Virginia Tech,2168.5225250277344,25,9,Georgia Tech,2208.9201516858107
2010,44,Cincinnati,2164.8213310074807,19,16,Vanderbilt,2222.795201657307
2010,45,UAB,2164.2921557496343,25,9,Butler,2322.3767123801176
2010,46,Florida St,2159.656022709487,22,10,Marquette,2243.471676740491
2010,47,Oklahoma St,2153.66333459705,22,11,Kansas,2608.3590184238597
2010,48,Memphis,2149.1377508598653,24,10,UAB,2164.2921557496343
2010,49,Washington,2139.15325819222,26,10,New Mexico,2293.8215640329713
2010,50,South Florida,2138.610985734723,20,13,Georgetown,2356.6915593725994
2010,51,Louisville,2134.0711522751917,20,13,Syracuse,2520.579839629161
2010,52,Illinois,2127.2151865654946,21,15,Wisconsin,2318.2073754474072
